provinsi_id,kode_satker,nama satuankerja
13,3307,BPS Kabupaten Wonosobo
13,3308,BPS Kabupaten Magelang
13,3309,BPS Kabupaten Boyolali
13,3310,BPS Kabupaten Klaten
13,3311,BPS Kabupaten Sukoharjo
13,3312,BPS Kabupaten Wonogiri
13,3313,BPS Kabupaten Karanganyar
13,3314,BPS Kabupaten Sragen
13,3315,BPS Kabupaten Grobogan
13,3316,BPS Kabupaten Blora
13,3317,BPS Kabupaten Rembang
13,3318,BPS Kabupaten Pati
13,3319,BPS Kabupaten Kudus
13,3320,BPS Kabupaten Jepara
13,3321,BPS Kabupaten Demak
13,3322,BPS Kabupaten Semarang
13,3323,BPS Kabupaten Temanggung
13,3324,BPS Kabupaten Kendal
13,3325,BPS Kabupaten Batang
13,3326,BPS Kabupaten Pekalongan
13,3327,BPS Kabupaten Pemalang
13,3328,BPS Kabupaten Tegal
13,3329,BPS Kabupaten Brebes
13,3371,BPS Kota Magelang
13,3372,BPS Kota Surakarta
13,3373,BPS Kota Salatiga
13,3374,BPS Kota Semarang
13,3375,BPS Kota Pekalongan
13,3376,BPS Kota Tegal
14,3400,BPS Provinsi Di Yogyakarta
14,3401,BPS Kabupaten Kulon Progo
14,3402,BPS Kabupaten Bantul
14,3403,BPS Kabupaten Gunungkidul
14,3404,BPS Kabupaten Sleman
14,3471,BPS Kota Yogyakarta
15,3500,BPS Provinsi Jawa Timur
15,3501,BPS Kabupaten Pacitan
15,3502,BPS Kabupaten Ponorogo
15,3503,BPS Kabupaten Trenggalek
15,3504,BPS Kabupaten Tulungagung
15,3505,BPS Kabupaten Blitar
15,3506,BPS Kabupaten Kediri
15,3507,BPS Kabupaten Malang
15,3508,BPS Kabupaten Lumajang
15,3509,BPS Kabupaten Jember
15,3510,BPS Kabupaten Banyuwangi
15,3511,BPS Kabupaten Bondowoso
15,3512,BPS Kabupaten Situbondo
15,3513,BPS Kabupaten Probolinggo
15,3514,BPS Kabupaten Pasuruan
15,3515,BPS Kabupaten Sidoarjo
15,3516,BPS Kabupaten Mojokerto
15,3517,BPS Kabupaten Jombang
15,3518,BPS Kabupaten Nganjuk
15,3519,BPS Kabupaten Madiun
15,3520,BPS Kabupaten Magetan
15,3521,BPS Kabupaten Ngawi
15,3522,BPS Kabupaten Bojonegoro
15,3523,BPS Kabupaten Tuban
15,3524,BPS Kabupaten Lamongan
15,3525,BPS Kabupaten Gresik
15,3526,BPS Kabupaten Bangkalan
15,3527,BPS Kabupaten Sampang
15,3528,BPS Kabupaten Pamekasan
15,3529,BPS Kabupaten Sumenep
15,3571,BPS Kota Kediri
15,3572,BPS Kota Blitar
15,3573,BPS Kota Malang
15,3574,BPS Kota Probolinggo
15,3575,BPS Kota Pasuruan
15,3576,BPS Kota Mojokerto
15,3577,BPS Kota Madiun
15,3578,BPS Kota Surabaya
15,3579,BPS Kota Batu
16,3600,BPS Provinsi Banten
16,3601,BPS Kabupaten Pandeglang
16,3602,BPS Kabupaten Lebak
16,3603,BPS Kabupaten Tangerang
16,3604,BPS Kabupaten Serang
16,3671,BPS Kota Tangerang
16,3672,BPS Kota Cilegon
16,3673,BPS Kota Serang
16,3674,BPS Kota Tangerang Selatan
17,5100,BPS Provinsi Bali
17,5101,BPS Kabupaten Jembrana
17,5102,BPS Kabupaten Tabanan
17,5103,BPS Kabupaten Badung
17,5104,BPS Kabupaten Gianyar
17,5105,BPS Kabupaten Klungkung
17,5106,BPS Kabupaten Bangli
17,5107,BPS Kabupaten Karangasem
17,5108,BPS Kabupaten Buleleng
17,5171,BPS Kota Denpasar
18,5200,BPS Provinsi Nusa Tenggara Barat
18,5201,BPS Kabupaten Lombok Barat
18,5202,BPS Kabupaten Lombok Tengah
18,5203,BPS Kabupaten Lombok Timur
18,5204,BPS Kabupaten Sumbawa
18,5205,BPS Kabupaten Dompu
18,5206,BPS Kabupaten Bima
18,5207,BPS Kabupaten Sumbawa Barat
18,5208,BPS Kabupaten Lombok Utara
18,5271,BPS Kota Mataram
18,5272,BPS Kota Bima
19,5300,BPS Provinsi Nusa Tenggara Timur
19,5301,BPS Kabupaten Sumba Barat
19,5302,BPS Kabupaten Sumba Timur
19,5303,BPS Kabupaten Kupang
19,5304,BPS Kabupaten Timor Tengah Selatan
19,5305,BPS Kabupaten Timor Tengah Utara
19,5306,BPS Kabupaten Belu
19,5307,BPS Kabupaten Alor
19,5308,BPS Kabupaten Lembata
19,5309,BPS Kabupaten Flores Timur
19,5310,BPS Kabupaten Sikka
19,5311,BPS Kabupaten Ende
19,5312,BPS Kabupaten Ngada
19,5313,BPS Kabupaten Manggarai
19,5314,BPS Kabupaten Rote Ndao
19,5315,BPS Kabupaten Manggarai Barat
19,5316,BPS Kabupaten Sumba Tengah
19,5317,BPS Kabupaten Sumba Barat Daya
19,5318,BPS Kabupaten Nagekeo
19,5319,BPS Kabupaten Manggarai Timur
